food_id,food_name,category,ingredients,contains_allergens,allergen_score,calories,protein_g,fat_g,carbs_g,sodium_mg,sugar_g,fiber_g,serving_size_g,is_vegan,is_gluten_free,is_dairy_free,price_usd,brand,country,spice_level,shelf_life_days,image_url,packaging_type,rating
11,Curry,Indian,"spices, tomato, oil, onion",,0.05384590257162969,113,5.0275820002593825,26.161469804247727,47.27424789056385,461,39.64913495260704,17.563419926817463,457,0,0,1,2.82,BrandD,India,3,288,https://source.unsplash.com/featured/?curry&sig=11,Wrapper,2.27
12,Ice Cream,Dessert,"sugar, milk, cream, vanilla",dairy,0.7703162406531051,194,27.02450007171592,31.997794787117133,29.352451762694244,292,23.092359429226956,14.505428256139695,308,0,1,1,12.83,BrandA,USA,2,203,https://source.unsplash.com/featured/?ice-cream&sig=12,Pouch,2.27
13,Tacos,Fast Food,"cheese, tortilla, lettuce",dairy,0.8153707080194375,773,10.539912457990322,32.01463845276769,35.76905623770689,279,28.405752130557072,11.703530708002795,87,1,1,0,10.32,BrandB,Canada,3,212,https://source.unsplash.com/featured/?tacos&sig=13,Box,3.17
14,Biryani,Indian,"rice, yogurt, chicken, spices, onion",,0.7812722196714396,187,15.7814395445153,28.878466765053016,40.14810159990621,276,20.296139733476327,1.09902231773235,395,0,1,0,7.29,BrandD,India,1,158,https://source.unsplash.com/featured/?biryani&sig=14,Bottle,2.09
15,Tacos,Fast Food,"beef, cheese, lettuce, tortilla",dairy,0.8948931861935948,663,20.19118191422874,35.54488479194097,63.03723834860037,64,26.008312668089246,19.65892758677105,307,0,0,0,8.45,BrandA,Canada,5,149,https://source.unsplash.com/featured/?tacos&sig=15,Bottle,1.82
16,Pasta,Italian,"pasta, cheese, olive oil, garlic, tomato",dairy,0.6175075318522522,666,2.8975776971829115,41.366173952868294,30.81410121838383,302,39.520773895007636,16.009848015868496,347,1,1,1,6.84,BrandC,Canada,0,180,https://source.unsplash.com/featured/?pasta&sig=16,Bottle,2.36
17,Pizza,Fast Food,"wheat flour, tomato sauce, cheese, olive oil","dairy,gluten",0.7262406282150337,309,6.648313628374046,13.86238217064989,97.85492101024627,561,55.06789660738289,7.175306631106042,65,1,0,0,19.66,BrandE,UK,4,292,https://source.unsplash.com/featured/?pizza&sig=17,Wrapper,3.65
18,Burger,Fast Food,"bun, cheese, beef patty",dairy,0.1092159305263618,321,5.388592696799004,43.92767537082323,87.28651721820471,252,5.0633437144780675,5.994042190642723,216,1,1,0,12.55,BrandC,Canada,5,99,https://source.unsplash.com/featured/?burger&sig=18,Box,3.79
19,Samosa,Indian,"peas, oil, spices",,0.9911349236110922,639,28.07001761250447,5.509055638518597,82.51977431948731,113,26.516045837672493,8.688409774995984,476,0,0,1,1.3,BrandE,UK,2,104,https://source.unsplash.com/featured/?samosa&sig=19,Wrapper,2.94
20,Pizza,Fast Food,"oregano, cheese, tomato sauce, olive oil, wheat flour","dairy,gluten",0.0650358091730947,105,9.357827280374188,21.486134258907704,64.75805646040273,616,9.378698365098291,7.44073852075235,356,0,0,1,12.91,BrandC,UK,0,228,https://source.unsplash.com/featured/?pizza&sig=20,Box,3.96
21,Tacos,Fast Food,"cheese, beef, lettuce",dairy,0.9256088326458414,82,22.17499497249906,25.746943424382508,22.164906849701943,465,40.27351776620265,2.21999006552722,302,1,0,0,1.38,BrandE,USA,3,164,https://source.unsplash.com/featured/?tacos&sig=21,Pouch,3.64
22,Ice Cream,Dessert,"cream, vanilla, milk",dairy,0.6368140199025025,447,30.821905266731406,28.711818337900386,7.496596273349768,246,4.242017600369348,8.925596413159663,203,0,1,1,16.43,BrandC,India,3,77,https://source.unsplash.com/featured/?ice-cream&sig=22,Wrapper,1.1
23,Paratha,Indian,"wheat flour, butter, salt",gluten,0.6118402307468456,567,19.01610703758636,40.66220402881403,77.78174547029658,47,46.73898169890094,17.04651060192737,73,1,0,1,10.15,BrandC,Canada,3,117,https://source.unsplash.com/featured/?paratha&sig=23,Pouch,1.96
24,Samosa,Indian,"wheat flour, potato, peas, oil, spices",gluten,0.018411557127141487,322,7.745092062920714,25.398346849816477,13.821014886657188,621,0.6011942425225669,19.475707997179807,363,0,1,0,4.34,BrandD,Canada,1,157,https://source.unsplash.com/featured/?samosa&sig=24,Wrapper,3.94
25,Bread,Bakery,"salt, water, wheat flour",gluten,0.5488053123923174,50,20.143297797285054,11.531509048231976,53.73124389119491,106,39.87377405988179,19.71562769773078,287,0,0,1,6.77,BrandA,India,0,225,https://source.unsplash.com/featured/?bread&sig=25,Wrapper,3.56
26,Pizza,Fast Food,"cheese, oregano, wheat flour, tomato sauce","dairy,gluten",0.577419610047144,214,21.47111577506822,26.78693321167013,32.617934647942434,288,56.98228034996827,8.27619273274207,196,0,1,0,6.07,BrandD,USA,5,62,https://source.unsplash.com/featured/?pizza&sig=26,Pouch,1.86
27,Biryani,Indian,"spices, onion, rice, chicken",,0.31808916858202085,127,18.175292529454087,13.15047783474204,13.143410141199872,492,50.96199415812258,9.12203237396302,332,0,1,0,17.29,BrandC,India,2,38,https://source.unsplash.com/featured/?biryani&sig=27,Wrapper,4.19
28,Soup,Snack,"vegetables, pepper, water, salt",,0.324138369599981,780,16.294137794415676,19.203015072846522,44.43995469462631,548,21.422741810786718,12.213786213157247,214,1,0,1,5.88,BrandB,UK,0,153,https://source.unsplash.com/featured/?soup&sig=28,Pouch,1.98
29,Paratha,Indian,"wheat flour, salt, butter",gluten,0.6759391443566307,382,23.471386872376556,49.953648946183655,85.96225189010354,526,7.988507521163601,9.058539145024833,347,1,1,0,5.18,BrandA,UK,2,195,https://source.unsplash.com/featured/?paratha&sig=29,Pouch,4.34
30,Idli,Indian,"salt, rice, lentils",,0.08707218287348983,597,25.745451959213938,43.72740326623441,72.4994634894688,572,31.804667241134,13.048951460091303,481,0,1,1,8.28,BrandE,Australia,1,80,https://source.unsplash.com/featured/?idli&sig=30,Pouch,3.23
31,Biryani,Indian,"chicken, yogurt, onion, spices",,0.5247082267979764,756,5.474131854896659,49.188531332208875,43.64132994228213,116,51.200287847626775,6.208038180450714,369,1,1,0,9.64,BrandC,Canada,5,266,https://source.unsplash.com/featured/?biryani&sig=31,Wrapper,3.2
32,Milkshake,Beverage,"sugar, milk, ice cream",dairy,0.17552544741860998,68,22.65467446898308,8.731335054137244,97.35947325359024,496,54.54279484893287,5.3181677260867755,319,0,1,0,16.13,BrandE,USA,3,108,https://source.unsplash.com/featured/?milkshake&sig=32,Pouch,2.76
33,Milkshake,Beverage,"ice cream, milk, sugar",dairy,0.16727008257465403,436,9.68619308582578,27.340082463530518,35.92545604237096,610,12.687971023091562,19.943572531391922,342,1,1,1,19.45,BrandD,Australia,4,202,https://source.unsplash.com/featured/?milkshake&sig=33,Bottle,2.04
34,Cake,Bakery,"butter, wheat flour, sugar, egg","egg,gluten",0.47799507707830113,659,18.411398701652175,5.449482406564684,90.29682469764597,723,51.435279008527054,1.0802826979713553,302,0,0,0,11.64,BrandB,Canada,3,35,https://source.unsplash.com/featured/?cake&sig=34,Pouch,2.78
35,Bread,Bakery,"water, salt, yeast, wheat flour",gluten,0.8368115694552183,444,19.149713729223038,46.46540023298809,84.01840116719481,653,48.8282034641425,11.91611252374884,106,0,0,0,5.31,BrandD,India,4,115,https://source.unsplash.com/featured/?bread&sig=35,Pouch,1.38
36,Noodles,Chinese,"soy sauce, vegetables, oil, noodles",soy,0.7931614320316372,574,30.81289476840658,17.949503231823478,63.490389203227906,298,49.26439316829716,9.524896168207134,195,0,1,1,1.36,BrandC,UK,1,42,https://source.unsplash.com/featured/?noodles&sig=36,Pouch,3.34
37,Pasta,Italian,"olive oil, garlic, tomato, pasta",,0.9655472037758155,597,16.1679966382115,42.08958515559052,75.2508565209876,104,30.767484656984887,15.952215956234571,118,0,1,1,5.99,BrandC,India,5,188,https://source.unsplash.com/featured/?pasta&sig=37,Box,2.99
38,Ice Cream,Dessert,"vanilla, milk, sugar, cream",dairy,0.01271856314981934,630,6.195486467931779,9.017070043555796,78.65923636517586,414,11.129175595591647,16.464350928542125,354,0,0,0,15.79,BrandE,India,0,54,https://source.unsplash.com/featured/?ice-cream&sig=38,Pouch,1.97
39,Tacos,Fast Food,"cheese, tortilla, beef, lettuce",dairy,0.14685731268004287,380,17.366300959420542,29.380619276174926,20.70842084416743,418,41.31378354810544,14.195650477374782,137,1,0,0,1.39,BrandB,USA,1,57,https://source.unsplash.com/featured/?tacos&sig=39,Box,4.52
40,Cake,Bakery,"butter, egg, sugar, wheat flour","gluten,egg",0.5912464286001604,138,26.86542331247614,22.80581779611927,5.095521353264803,111,5.695121249653057,3.6491315308567973,320,1,1,0,3.43,BrandD,Canada,4,255,https://source.unsplash.com/featured/?cake&sig=40,Bottle,4.72
41,Bread,Bakery,"wheat flour, yeast, water, salt",gluten,0.08467078400374595,176,24.83535942945592,4.49201898239612,21.257425816398786,451,12.054241097348417,5.035202994484438,387,1,1,1,16.25,BrandD,India,2,272,https://source.unsplash.com/featured/?bread&sig=41,Pouch,3.76
42,Paratha,Indian,"butter, salt, wheat flour",gluten,0.7904429797188239,449,34.725356921787586,30.870090991543876,61.24633125529737,610,28.02570442369071,3.4234572826232434,423,0,0,0,12.84,BrandA,Canada,1,146,https://source.unsplash.com/featured/?paratha&sig=42,Bottle,1.62
43,Salad,Snack,"olive oil, cucumber, tomato, lettuce",,0.6987250833184905,601,34.447522131380914,25.566854206484358,32.762577021892184,679,40.905650449562586,6.418405443783564,319,1,1,1,2.62,BrandE,UK,5,296,https://source.unsplash.com/featured/?salad&sig=43,Pouch,1.35
44,Pasta,Italian,"olive oil, pasta, cheese, tomato",dairy,0.15997201066648348,480,21.60723895764643,28.16519816728961,55.390831565174146,657,17.10238241201898,18.023703975750195,325,0,1,0,8.45,BrandE,Australia,3,108,https://source.unsplash.com/featured/?pasta&sig=44,Pouch,4.96
45,Tacos,Fast Food,"tortilla, lettuce, cheese",dairy,0.5220398521327411,745,34.49787134776895,5.429451965332245,2.0108881857573757,342,23.246363950777628,13.685396285855767,84,0,0,0,1.63,BrandE,USA,0,264,https://source.unsplash.com/featured/?tacos&sig=45,Box,2.24
46,Sandwich,Fast Food,"lettuce, cheese, mayonnaise, tomato, bread",dairy,0.5638062729523622,692,16.691203555226963,11.775882134011784,92.93798846792465,112,45.87938721633084,7.055225120809377,478,1,0,1,13.57,BrandA,Canada,1,77,https://source.unsplash.com/featured/?sandwich&sig=46,Pouch,1.26
47,Paratha,Indian,"butter, wheat flour, salt",gluten,0.8887014964372801,477,5.61437337998896,13.451791590671476,70.02116701126342,51,55.258665480629126,19.476280157713138,326,0,0,1,15.83,BrandC,Canada,2,87,https://source.unsplash.com/featured/?paratha&sig=47,Bottle,1.28
48,Pizza,Fast Food,"cheese, wheat flour, tomato sauce, oregano, olive oil","dairy,gluten",0.8328903848550883,371,17.142056768783625,48.72917717987751,77.17183563517055,610,30.898182494026006,1.9082425727387475,99,1,1,1,18.17,BrandC,India,0,103,https://source.unsplash.com/featured/?pizza&sig=48,Wrapper,3.48
49,Milkshake,Beverage,"sugar, milk, ice cream",dairy,0.3492689170768515,571,37.217305963997305,29.82035111979931,93.54418460079997,46,40.53181625589259,7.24105162667565,179,0,0,1,7.19,BrandA,Canada,1,199,https://source.unsplash.com/featured/?milkshake&sig=49,Pouch,4.18
50,Soup,Snack,"pepper, water, salt, vegetables",,0.2836221695432637,510,31.97021692211686,48.63887036853972,63.50930816017302,708,20.295710772829263,3.801164513474369,413,0,1,0,12.75,BrandC,India,0,67,https://source.unsplash.com/featured/?soup&sig=50,Box,1.44
51,Sushi,Chinese,"rice, salmon, soy sauce",soy,0.4291910650104873,683,24.498187036809483,19.117478574142694,87.69541422775866,431,56.17813624900352,16.700544858284392,390,0,1,1,9.38,BrandE,UK,1,193,https://source.unsplash.com/featured/?sushi&sig=51,Box,2.83
52,Sushi,Chinese,"rice, salmon, soy sauce, nori",soy,0.22168472738946832,87,39.71949445076946,7.547677510675997,99.2233590253035,431,34.48255198115107,7.369057440970661,281,1,1,1,10.14,BrandA,India,3,142,https://source.unsplash.com/featured/?sushi&sig=52,Bottle,1.07
53,Milkshake,Beverage,"sugar, ice cream, milk",dairy,0.0503421471126273,619,2.5639960398920776,23.7872613075035,70.61102246725673,733,56.26325021017349,9.927211114068768,430,0,0,0,15.75,BrandA,UK,2,62,https://source.unsplash.com/featured/?milkshake&sig=53,Bottle,3.5
54,Sushi,Chinese,"rice, nori, salmon",,0.9816094255882482,191,24.52167104849636,14.970107875804741,17.9546504646053,39,35.016708129466956,3.269810992785074,487,1,0,1,5.19,BrandB,Australia,3,254,https://source.unsplash.com/featured/?sushi&sig=54,Bottle,4.87
55,Pasta,Italian,"tomato, pasta, cheese",dairy,0.23084163708665828,140,17.160928884874377,45.97602008995221,79.4608979489165,773,25.10057367615889,5.3934650205084145,466,0,1,0,15.62,BrandA,Canada,0,141,https://source.unsplash.com/featured/?pasta&sig=55,Box,1.49
56,Soup,Snack,"water, salt, vegetables",,0.6324661603301556,707,29.816507551067126,14.872879676544187,8.770433743405153,612,27.732189543050552,13.714674037508942,176,0,1,1,4.43,BrandA,USA,4,190,https://source.unsplash.com/featured/?soup&sig=56,Pouch,1.04
57,Biryani,Indian,"spices, rice, yogurt, onion",,0.9192810408279618,352,3.336848018766401,28.263309902358923,89.477453496412,533,41.886270534528705,14.353819329456712,343,0,1,0,19.07,BrandE,Australia,1,205,https://source.unsplash.com/featured/?biryani&sig=57,Box,3.39
58,Milkshake,Beverage,"sugar, ice cream, milk",dairy,0.174633268952608,539,38.774908986887795,11.23810783187445,79.75967909613183,473,45.54290940590149,10.889164277350083,395,1,1,1,3.67,BrandD,India,1,249,https://source.unsplash.com/featured/?milkshake&sig=58,Pouch,3.23
59,Pasta,Italian,"tomato, olive oil, garlic, pasta",,0.7362391617535956,248,10.811810130088434,30.74036687613445,33.57749331194484,468,28.75955269993742,5.133116174073451,397,0,0,0,15.9,BrandD,India,5,45,https://source.unsplash.com/featured/?pasta&sig=59,Box,2.8
60,Bread,Bakery,"water, salt, wheat flour, yeast",gluten,0.21781496869600392,566,22.00252333991141,5.6984084397969,26.946810159077014,604,47.60715212459673,15.889991901654295,447,1,0,0,19.64,BrandC,UK,0,107,https://source.unsplash.com/featured/?bread&sig=60,Wrapper,3.46
61,Salad,Snack,"olive oil, cucumber, tomato, lettuce",,0.9358902870756902,137,9.00087354762377,18.478370790685457,14.25903924653428,755,18.4252470605743,10.600662388735142,89,1,1,1,6.42,BrandC,UK,0,156,https://source.unsplash.com/featured/?salad&sig=61,Box,2.78
62,Biryani,Indian,"yogurt, onion, spices",,0.2732222539678453,572,30.96444624189505,49.38148564529425,15.511736073933644,386,21.60542719032971,6.782592799634557,216,1,1,1,4.38,BrandD,UK,2,102,https://source.unsplash.com/featured/?biryani&sig=62,Box,2.59
63,Cake,Bakery,"wheat flour, egg, butter","egg,gluten",0.44609245862456914,551,35.245096935722,44.9705418327371,51.28707847088227,520,15.142063398609654,17.06001462141637,144,0,0,1,9.54,BrandD,Australia,5,183,https://source.unsplash.com/featured/?cake&sig=63,Box,2.3
64,Sushi,Chinese,"soy sauce, rice, nori",soy,0.14867047100529895,551,30.82293796204388,48.50044443149018,85.44648213224674,369,38.317245630568614,14.486751968301398,213,1,1,0,18.81,BrandE,Canada,1,293,https://source.unsplash.com/featured/?sushi&sig=64,Bottle,4.71
65,Sandwich,Fast Food,"lettuce, bread, cheese, tomato",dairy,0.5592508148769958,656,39.431155357493196,32.57513474757006,22.066429506852234,93,48.94349587152802,3.622658442143112,423,1,0,0,8.56,BrandA,USA,0,153,https://source.unsplash.com/featured/?sandwich&sig=65,Wrapper,4.63
66,Dosa,Indian,"oil, rice, lentils",,0.43664036340558776,432,30.25418417781763,7.622562177305793,33.377185945475496,289,19.64749651099138,7.943054653640614,118,1,1,0,7.6,BrandE,India,5,47,https://source.unsplash.com/featured/?dosa&sig=66,Box,1.01
67,Pizza,Fast Food,"olive oil, tomato sauce, wheat flour",gluten,0.29584644558819373,633,4.374057706942801,24.36541655627416,34.36417776346149,267,44.18809054871559,6.325349796847794,208,1,0,1,6.34,BrandC,Australia,3,62,https://source.unsplash.com/featured/?pizza&sig=67,Bottle,4.47
68,Chocolate,Dessert,"milk, butter, sugar",dairy,0.9598976978505048,442,14.722641229757098,14.501850454399257,42.17615178982883,59,29.479721192565837,9.485328646107654,229,1,0,1,12.86,BrandC,Australia,5,37,https://source.unsplash.com/featured/?chocolate&sig=68,Wrapper,2.31
69,Soup,Snack,"water, vegetables, pepper",,0.6157381311317691,316,18.237037661026008,30.877240405846194,7.703774687665045,466,26.399357453359194,9.795613998940684,402,1,0,0,11.47,BrandA,Canada,0,257,https://source.unsplash.com/featured/?soup&sig=69,Pouch,2.68
70,Samosa,Indian,"spices, potato, peas, oil",,0.9493749162486218,720,8.501625553898087,17.214273977625783,38.85221565254061,644,7.7345597057559505,12.909376290381767,294,1,0,0,19.77,BrandA,India,3,48,https://source.unsplash.com/featured/?samosa&sig=70,Pouch,3.3
71,Tacos,Fast Food,"lettuce, tortilla, beef",,0.05798719001140806,374,5.037833962375695,49.84132894454794,5.224658934803152,610,30.592301065797333,2.553136909608824,117,0,0,0,7.15,BrandC,UK,2,153,https://source.unsplash.com/featured/?tacos&sig=71,Wrapper,2.53
72,Chocolate,Dessert,"cocoa, sugar, milk, butter",dairy,0.13113152026357344,642,29.972398226451038,5.484451829286395,16.388914452777808,539,27.71116931442325,18.957051761957608,329,1,0,1,14.48,BrandA,USA,5,162,https://source.unsplash.com/featured/?chocolate&sig=72,Box,3.47
73,Salad,Snack,"tomato, cucumber, lettuce",,0.1992159876156776,631,6.462549061004931,42.29220064233933,13.85212884276626,20,17.75106116045276,0.3673989998637861,293,0,1,1,3.7,BrandA,Canada,5,80,https://source.unsplash.com/featured/?salad&sig=73,Bottle,2.83
74,Dosa,Indian,"oil, rice, lentils",,0.5370814156591074,583,2.5560800713988874,14.817547415543043,67.66716219864688,35,59.57833482566955,16.874725584279727,394,1,1,1,15.6,BrandC,UK,0,133,https://source.unsplash.com/featured/?dosa&sig=74,Bottle,3.14
75,Sushi,Chinese,"rice, soy sauce, salmon",soy,0.37766645590959236,181,26.756036923562316,38.55101269257344,37.67245765018511,777,45.81352087653011,1.7304993809026659,485,1,1,1,19.64,BrandE,India,1,232,https://source.unsplash.com/featured/?sushi&sig=75,Pouch,3.51
76,Sushi,Chinese,"salmon, soy sauce, rice, nori",soy,0.714486561754672,684,16.78679780843119,39.018112306717526,4.249284558273805,745,55.96692542378654,17.040720532627795,287,1,1,1,13.83,BrandC,Australia,4,295,https://source.unsplash.com/featured/?sushi&sig=76,Pouch,1.77
77,Soup,Snack,"salt, water, vegetables",,0.839722965886686,207,20.82151941062897,1.7738024740274438,3.0658082888736318,161,30.04168976746805,7.56015458995849,487,1,1,1,13.06,BrandE,USA,0,258,https://source.unsplash.com/featured/?soup&sig=77,Box,4.13
78,Tacos,Fast Food,"cheese, lettuce, tortilla",dairy,0.6437567681130347,255,9.941974763295175,32.81392108231546,49.18136697485597,763,26.25611372026739,5.734438711433267,361,1,1,1,6.32,BrandD,USA,1,258,https://source.unsplash.com/featured/?tacos&sig=78,Bottle,1.4
79,Chocolate,Dessert,"sugar, milk, cocoa",dairy,0.12201608847030632,532,37.32712884917354,38.35010650805962,46.48440291530142,738,12.70191129631355,18.11855400650658,88,1,0,1,9.74,BrandE,Australia,0,82,https://source.unsplash.com/featured/?chocolate&sig=79,Bottle,4.11
80,Pasta,Italian,"cheese, pasta, tomato, garlic",dairy,0.9754745101682765,467,34.06485124928123,27.102637945580295,12.647100077078745,732,30.464621661842827,16.53679896028986,298,0,1,1,18.72,BrandB,USA,5,177,https://source.unsplash.com/featured/?pasta&sig=80,Pouch,4.53
81,Tacos,Fast Food,"lettuce, cheese, tortilla, beef",dairy,0.8226043949539631,463,8.786101039641114,46.297746668652294,83.25033914106604,360,26.23106472381644,16.26258747993174,140,1,1,1,7.13,BrandD,Australia,1,228,https://source.unsplash.com/featured/?tacos&sig=81,Bottle,2.21
82,Dosa,Indian,"rice, lentils, oil",,0.5371916555942622,150,3.807207064467479,25.289242993360087,26.782062597958298,508,58.35228102050458,16.618787862258728,184,0,1,0,4.0,BrandA,India,4,208,https://source.unsplash.com/featured/?dosa&sig=82,Bottle,3.32
83,Pasta,Italian,"cheese, garlic, tomato, olive oil, pasta",dairy,0.28284465542909154,483,10.208468641197001,14.91167580215169,99.24911225367075,454,22.07186291326892,0.18151755444198336,93,0,1,0,14.49,BrandC,USA,4,145,https://source.unsplash.com/featured/?pasta&sig=83,Box,1.81
84,Dosa,Indian,"rice, lentils, oil",,0.930880635148269,376,20.144136442121187,17.10393730297701,81.77338959997539,355,23.465469679953078,12.525279103821505,118,0,0,1,5.21,BrandA,USA,5,103,https://source.unsplash.com/featured/?dosa&sig=84,Box,3.99
85,Samosa,Indian,"peas, wheat flour, oil, potato",gluten,0.21149317676991375,571,3.227691302675171,6.281018695201449,11.754960835793678,379,26.920156110320704,19.055007575369682,87,1,1,1,7.43,BrandE,UK,2,206,https://source.unsplash.com/featured/?samosa&sig=85,Bottle,1.77
86,Samosa,Indian,"spices, wheat flour, oil, potato, peas",gluten,0.6600994766692778,105,26.61157637113058,41.54984675093981,12.751791704611907,391,23.274971888069445,1.389831932643475,61,1,1,1,13.43,BrandE,USA,2,237,https://source.unsplash.com/featured/?samosa&sig=86,Bottle,4.98
87,Cake,Bakery,"sugar, butter, wheat flour",gluten,0.7284184029379952,417,26.596094354275778,17.693393556996853,65.02992497064866,67,21.6407578894405,3.3650749511337907,473,0,0,0,9.37,BrandC,India,5,76,https://source.unsplash.com/featured/?cake&sig=87,Wrapper,4.22
88,Burger,Fast Food,"tomato, bun, cheese",dairy,0.7281914587868982,603,8.011364875140327,35.341060373797234,87.46823196004287,503,21.32909400446249,11.362783336282643,408,1,1,0,1.43,BrandB,UK,5,286,https://source.unsplash.com/featured/?burger&sig=88,Pouch,1.23
89,Curry,Indian,"onion, tomato, oil, spices",,0.6235684248195291,722,20.973512193748334,39.212331216877,57.43937100929743,438,6.66112113416278,13.08120668183336,285,0,0,1,3.25,BrandC,UK,5,295,https://source.unsplash.com/featured/?curry&sig=89,Bottle,1.78
90,Chocolate,Dessert,"sugar, milk, butter, cocoa",dairy,0.8756643318094959,213,34.209919785346294,33.865852424887535,63.866584997849564,243,48.73071892085612,17.009428485625268,406,0,0,1,13.26,BrandB,USA,2,229,https://source.unsplash.com/featured/?chocolate&sig=90,Pouch,2.52
91,Chocolate,Dessert,"milk, butter, sugar, cocoa",dairy,0.3532039105065098,505,39.95399036608154,1.7137662426055047,30.85369140165665,512,32.56873297014145,15.68079281205318,145,1,0,0,18.75,BrandC,Canada,5,226,https://source.unsplash.com/featured/?chocolate&sig=91,Wrapper,1.46
92,Tacos,Fast Food,"cheese, beef, lettuce, tortilla",dairy,0.3192908072107994,671,28.273072105708398,41.01303869802424,42.84041143859177,463,12.85263672093518,10.185392606546133,492,1,0,1,16.46,BrandC,UK,0,219,https://source.unsplash.com/featured/?tacos&sig=92,Bottle,1.74
93,Bread,Bakery,"wheat flour, water, salt, yeast",gluten,0.18713641559347094,516,32.202733085000105,40.12809365357612,23.981954551243003,199,49.472511615820146,19.075440183603966,164,0,1,1,2.43,BrandD,USA,4,203,https://source.unsplash.com/featured/?bread&sig=93,Bottle,3.87
94,Idli,Indian,"lentils, rice, salt",,0.8628912846132744,662,12.18831857518747,49.68734989207674,17.410971594894868,484,53.38859374787924,7.542029232468675,281,0,1,1,19.88,BrandB,India,2,68,https://source.unsplash.com/featured/?idli&sig=94,Wrapper,3.04
95,Paratha,Indian,"salt, wheat flour, butter",gluten,0.7848918131253372,393,13.09512049974146,32.527033614539235,93.02982785253889,121,38.859796388212736,16.91387949493987,241,1,0,0,14.3,BrandE,India,3,206,https://source.unsplash.com/featured/?paratha&sig=95,Box,4.76
96,Bread,Bakery,"salt, yeast, wheat flour",gluten,0.12516786952978787,384,24.04425251392364,16.132158061729378,32.41521096038932,727,32.58451898855092,11.593702387584317,252,0,1,0,11.52,BrandA,USA,4,151,https://source.unsplash.com/featured/?bread&sig=96,Bottle,4.25
97,Bread,Bakery,"wheat flour, salt, yeast, water",gluten,0.18874249994369974,297,29.45657598335563,43.2691440451784,88.7970213172636,753,29.265198389993127,14.073696146530018,114,0,0,1,12.82,BrandC,Australia,3,159,https://source.unsplash.com/featured/?bread&sig=97,Bottle,1.79
98,Sandwich,Fast Food,"lettuce, mayonnaise, tomato, cheese, bread",dairy,0.46494140712852494,316,18.675621710902536,39.69071574163361,25.21190287690743,158,19.710016346916575,18.51433940229535,221,1,1,0,12.69,BrandA,India,3,84,https://source.unsplash.com/featured/?sandwich&sig=98,Box,4.15
